agay	a ɡ a ɪ
alingagngag	a l i ŋ a ɡ ŋ a ɡ
atop	a t ʊ p
balungbong	b a l̪ u ŋ b o ŋ
baos	b aː u s
berdin	b ɛ r d i n
bibihan	b i b i h a n̪
bildo	b i l̪ d̪ o
bitoon	b i t uˑ ʔ u n
bugoy	b u ɡ ɔ ɪ
chiongbian	t͡ʃ ɔ ŋ b j a n
dakbayan	d a k b a j a n
enad	ɛː n a d
foreigner	f ɔ ɾ i n ə ɹ
gama	ɡ a m a ʔ
guba	ɡ u b a ʔ
guwatsi	ɡ u w a t̪ s̪ i
hiring	h i ɾ̪ i ŋ
hiusa	h i uː s̪ a
hulga	h u l ɡ a ʔ
ikanapulo	i k a n a p u l ʊ ʔ
ikaunom	i k a u n ʊ m
ikaupat	i k a u p a t̪
inadlawan	i n̪ a d̪ l̪ a w a n̪
inunom	i n u n ʊ m
ipos	i p o s̪
ispat	i s̪ p a t̪
itikan	i t̪ i k a n̪
jorge	h o r h ɛ
kaduha	k a d̪ u h a
kalatkat	k a l̪ a t̪ k a t̪
kamot	k a m o t
kapito	k a p i t̪ o
kaputol	k a p u t̪ o l̪
karaan	k a ɾ a ʔ ɐ n
kasiyam	k a s̪ i j ʌ m
katkat	k a t̪ k a t̪
katulo	k a t̪ ɔ l ʊ
kaunom	k a u n ʊ m
kaupat	k a ɔ p a t̪
kausa	k a ɔ s a
kayo	k aː y u
kombento	k o m b ɛ n t o
kulukabildo	k u l̪ u k a b i l̪ d̪ o
lanot	l̪ a n̪ o t̪
lapa	l̪ a p a ʔ
lasang	l a s a ŋ
lawas	l a w a s
liog	l i ʔ o ɡ
lubnganan	l u b ŋ a n a n
lunga	l̪ u ŋ a
lungon	l u ŋ o n
lunhaw	l u n h a u
lusa	l u s a ʔ
mahilom	m a h i l u m
makapito	m ʌ k a p i t̪ o
makaunom	m ʌ k a u n ʊ m
makausa	m ʌ k a u s̪ a
maluya	m a l u j a
mayor	m ɛ j o ɾ
napulo	n a p u l ʊ ʔ
ngilo	ŋ i l̪ o
otap	o t̪ a p
pagkuha	p ʌ ɡ k u h a ʔ
pagpuno	p ʌ ɡ p u n ɔ ʔ
pangadye	p a ŋ a d j ɛ
pangitik	p a ŋ i t̪ i k
pinito	p i n ɪ t ʊ
pirma	p i ɾ m a
puklo	p u k l o ʔ
rosquillos	ɾ̪ o s̪ k i l̪ j o s̪
sagbot	s̪ a ɡ b o t̪
samar	s aˑ m ɐ ɾ
sambag	s ɐ m b ɐ ɡ
sanga	s a ŋ a
sangay	s a ŋ a ɪ
sayop	s a j o p
sigay	s̪ i ɡ a ɪ
sikaduha	s̪ i k a d̪ u h a
sipat	s̪ i p a t̪
suba	s u b a ʔ
suko	s u k ɔ
taas	t̪ a ʔ a s̪
tagiptip	t̪ a ɡ i p t̪ i p
taming	t a m i ŋ
taop	t̪ a ɔ p
tapis	t̪ a p i s̪
tigbahin	t̪ i ɡ b a h i n̪
tigdugang	t̪ i ɡ d̪ u ɡ a ŋ
tigkuha	t̪ i ɡ k u h a ʔ
tigpuno	t̪ i ɡ p u n o ʔ
tingob	t̪ i ŋ o b
tipas	t̪ i p a s̪
tsapa	t͡ʃ a p a
turko	t u ɾ k u
ugay	u ɡ a ɪ
unahan	u n a h ʌ n
unauna	u n a u n a
wail	w a i l̪
winalo	w i n a l ʊ
